대학명,전형명,모집군,모집단위,모집인원,,,경쟁률,충원순위,최종등록자 대학별환산,,,"최종등록자 50%학생 과목별 백분위(영어,한국사는 등급 표기)",,,,,,"최종등록자 70%학생 과목별 백분위(영어,한국사는 등급 표기)",,,,,,최종등록자 수학 선택과목 응시 비율(%),,,반영영역 평균백분위,,반영영역 평균등급,
,,,,최초(A),이월(B),최종(A+B),,,"최종등록자
(50%cut)","최종등록자
(70%cut)",총점(수능),국어,수학,탐구1,탐구2,영어,한국사,국어,수학,탐구1,탐구2,영어,한국사,확률과통계,미적분,기하,"최종등록자
(50%cut)","최종등록자
(70%cut)","최종등록자
(50%cut)","최종등록자
(70%cut)"
가야대,일반학생전형,다,특수교육과,1,9,10,0.7,,623,623,700,23,,69,,6,5,23,,69,,6,5,,,,,,,
가야대,일반학생전형,다,방사선학과,1,5,6,3.5,15,648.5,640.5,700,,68,49,,4,3,42,,41,,4,4,,,,,,,
가야대,일반학생전형,다,간호학과,20,15,35,4.11,91,646.5,648.5,700,33,,51,,3,4,37,,38,,3,3,,,,,,,
가야대,일반학생전형,다,믈리치료학과,2,4,6,2.83,11,642.5,642.5,700,61,62,51,,,3,61,62,51,,,3,,,,,,,
가야대,일반학생전형,다,스포츠재활복지학과,1,19,20,0.55,,615.25,577.5,700,19,,9,,6,7,,,,,,,,,,,,,
가야대,일반학생전형,다,사회복지상담학과,1,28,29,0.89,,577.5,577.5,700,,,,,,,,,,,,,,,,,,,
가야대,일반학생전형,다,부동산금융재테크학과,1,8,9,1,,577.5,577.5,700,,,,,,,,,,,,,,,,,,,
가천대,일반전형,가,관광경영학과,15,0,15,10.27,15,,82.6,,,,,,,,,,,,,,,,,,82.6,,
가천대,일반전형,가,금융·빅데이터학부,40,0,40,6.98,56,,83.7,,,,,,,,,,,,,,,,,,83.7,,
가천대,일반전형,가,경제학과,15,0,15,13.93,27,,83.1,,,,,,,,,,,,,,,,,,83.1,,
가천대,일반전형,가,응용통계학과,16,0,16,7.94,20,,83.4,,,,,,,,,,,,,,,,,,83.4,,
가천대,일반전형,가,AI인문대학,72,1,73,6.97,73,,81.9,,,,,,,,,,,,,,,,,,81.9,,
가천대,일반전형,가,법과대학,53,1,54,8.89,66,,82.7,,,,,,,,,,,,,,,,,,82.7,,
가천대,일반전형,가,도시계획·조경학부,24,0,24,9.21,42,,82.5,,,,,,,,,,,,,,,,,,82.5,,
가천대,일반전형,가,화공생명배터리공학부,73,1,74,6.47,54,,83.2,,,,,,,,,,,,,,,,,,83.2,,
