지역구분,대학설립형태,대학명,전형세부유형,중심전형분류,계열,상세계열,모집단위명,소재지,모집인원,"전영역
응시
여부","필수
응시
과목","탐구
반영
방법",최저학력기준 내용
경기,사립,가천대,가천바람개비전형,학생부종합,자연,전기•전자•컴퓨터•통신,인공지능학과,,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,가천의약학전형,학생부종합,자연,약학,약학과,인천,12,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
경기,사립,가천대,가천의약학전형,학생부종합,자연,의예,의예과,인천,33,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 1등급 (탐구 소수점 절사)"
경기,사립,가천대,가천의약학전형,학생부종합,자연,한의예,한의예과,,5,,,2과목개별반영,"국, 수(미적/기하), 영, 탐(과)(2과목 모두 1등급) 중 2개 영역 각 1등급"
경기,사립,가천대,교육기회균형전형,학생부종합,자연,약학,약학과,인천,3,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 6이내 (탐구 소수점 절사)"
경기,사립,가천대,기회균형전형,학생부종합,자연,의예,의예과,,2,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 4이내 (탐구 소수점 절사)"
경기,사립,가천대,논술전형,논술,인문,기타인문계,AI인문대학,,71,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,경영•경제•무역,경영학과,,45,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,경영•경제•무역,경제학과,,15,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,관광•서비스,관광경영학과,,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,사회•언론•매체,미디어커뮤니케이션학과,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
