,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,전형유형,지역,대학명,계열,충족여부,전형명,모집단위명,모집예정인원,선발유형,전형방법,최저학력기준 내용
,학생부교과,경남,가야대,자연,최저미반영,가야인재전형,간호학과,110,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,가야인재전형,물리치료학과,41,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,인문,최저미반영,일반학생전형,부동산금융재테크학과,29,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,인문,최저미반영,일반학생전형,사회복지상담학과,39,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,인문,최저미반영,일반학생전형,특수교육과,25,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,일반학생전형,간호학과,16,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,일반학생전형,물리치료학과,2,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,일반학생전형,방사선학과,44,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,일반학생전형,스포츠재활복지학과,44,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,지역인재(기초)전형,간호학과,2,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,지역인재전형,간호학과,18,일괄합산,학생부(정량)100,미반영
,학생부교과,경남,가야대,자연,최저미반영,지역인재전형,물리치료학과,8,일괄합산,학생부(정량)100,미반영
,학생부교과,경기,가천대(글로벌),공통,최저미반영,지역균형전형,자유전공학부(자유전공),321,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,경기,가천대(글로벌),인문,최저미반영,지역균형전형,유아교육학과,6,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,인천,가천대(메디컬),자연,최저미반영,지역균형전형,간호학과,13,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,인천,가천대(메디컬),자연,최저미반영,지역균형전형,물리치료학과,6,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,인천,가천대(메디컬),자연,최저미반영,지역균형전형,방사선학과,6,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,인천,가천대(메디컬),자연,최저미반영,지역균형전형,치위생학과,6,단계별전형,"[1단계]학생부(정량)100(5배수)
[2단계]1단계성적50+면접50",미반영
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,AI인문대학,22,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,경영학과,16,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,경제학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,관광경영학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,미디어커뮤니케이션학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,법과대학,17,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,사회복지학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
